year,country,city,category,firstname,surname,gender
1990,USA,"Seattle, WA",medicine,E. Donnall,Thomas,male
1991,,Göttingen,medicine,Erwin,Neher,male
1991,,Heidelberg,medicine,Bert,Sakmann,male
1992,USA,"Seattle, WA",medicine,Edmond H.,Fischer,male
1992,USA,"Seattle, WA",medicine,Edwin G.,Krebs,male
1993,USA,"Beverly, MA",medicine,Richard J.,Roberts,male
1993,USA,"Cambridge, MA",medicine,Phillip A.,Sharp,male
1994,USA,"Dallas, TX",medicine,Alfred G.,Gilman,male
1994,USA,"Research Triangle Park, NC",medicine,Martin,Rodbell,male
1995,USA,"Pasadena, CA",medicine,Edward B.,Lewis,male
1995,,Tübingen,medicine,Christiane,Nüsslein-Volhard,female
1995,USA,"Princeton, NJ",medicine,Eric F.,Wieschaus,male
1996,USA,"Memphis, TN",medicine,Peter C.,Doherty,male
1996,CHE,Zurich,medicine,Rolf M.,Zinkernagel,male
1997,USA,"San Francisco, CA",medicine,Stanley B.,Prusiner,male
1998,USA,"Brooklyn, NY",medicine,Robert F.,Furchgott,male
1998,USA,"Los Angeles, CA",medicine,Louis J.,Ignarro,male
1998,USA,"Houston, TX",medicine,Ferid,Murad,male
1999,USA,"New York, NY",medicine,Günter,Blobel,male
1901,,,peace,Jean Henry,Dunant,male
1901,,,peace,Frédéric,Passy,male
1902,,,peace,Élie,Ducommun,male
1902,,,peace,Charles Albert,Gobat,male
1903,,,peace,William Randal,Cremer,male
1905,,,peace,Baroness Bertha Sophie Felicita,"von Suttner, née Countess Kinsky von Chinic und Tettau",female
1906,,,peace,Theodore,Roosevelt,male
1907,,,peace,Ernesto Teodoro,Moneta,male
1907,FRA,Paris,peace,Louis,Renault,male
1908,,,peace,Klas Pontus,Arnoldson,male
1908,,,peace,Fredrik,Bajer,male
1909,,,peace,Auguste Marie François,Beernaert,male
1909,,,peace,Paul Henri Benjamin Balluet,"d'Estournelles de Constant, Baron de Constant de Rebecque",male
1911,,,peace,Tobias Michael Carel,Asser,male
1911,,,peace,Alfred Hermann,Fried,male
1912,,,peace,Elihu,Root,male
1913,,,peace,Henri,La Fontaine,male
1919,,,peace,Thomas Woodrow,Wilson,male
1920,,,peace,Léon Victor Auguste,Bourgeois,male
1921,,,peace,Karl Hjalmar,Branting,male
1921,,,peace,Christian Lous,Lange,male
1922,,,peace,Fridtjof,Nansen,male
1925,,,peace,Sir Austen,Chamberlain,male
1925,,,peace,Charles Gates,Dawes,male
1926,,,peace,Aristide,Briand,male
1926,,,peace,Gustav,Stresemann,male
1927,,,peace,Ferdinand,Buisson,male
1927,,,peace,Ludwig,Quidde,male
1929,,,peace,Frank Billings,Kellogg,male
1930,,,peace,Lars Olof Jonathan (Nathan),Söderblom,male
1931,,,peace,Jane,Addams,female
1931,USA,"New York, NY",peace,Nicholas Murray,Butler,male
1933,,,peace,Sir Norman,Angell (Ralph Lane),male
1934,,,peace,Arthur,Henderson,male
1935,,,peace,Carl,von Ossietzky,male
1936,,,peace,Carlos,Saavedra Lamas,male
1937,,,peace,"Cecil of Chelwood, Viscount",(Lord Edgar Algernon Robert Gascoyne Cecil),male
1945,,,peace,Cordell,Hull,male
1946,,,peace,Emily Greene,Balch,female
1946,,,peace,John Raleigh,Mott,male
1949,,,peace,Lord (John),Boyd Orr of Brechin,male
1950,USA,"Cambridge, MA",peace,Ralph,Bunche,male
1951,,,peace,Léon,Jouhaux,male
1952,,,peace,Albert,Schweitzer,male
1953,,,peace,George Catlett,Marshall,male
1957,,,peace,Lester Bowles,Pearson,male
1958,,,peace,Georges,Pire,male
1959,,,peace,Philip J.,Noel-Baker,male
1960,,,peace,Albert John,Lutuli,male
1961,,,peace,Dag Hjalmar Agne Carl,Hammarskjöld,male
1964,,,peace,Martin Luther,King Jr.,male
1968,,,peace,René,Cassin,male
1970,,,peace,Norman E.,Borlaug,male
1971,,,peace,Willy,Brandt,male
1973,,,peace,Henry A.,Kissinger,male
1973,,,peace,Le Duc Tho,,male
1974,,,peace,Seán,MacBride,male
1974,,,peace,Eisaku,Sato,male
1975,,,peace,Andrei Dmitrievich,Sakharov,male
1976,,,peace,Betty,Williams,female
1976,,,peace,Mairead,Corrigan,female
1978,,,peace,Mohamed Anwar,al-Sadat,male
1978,,,peace,Menachem,Begin,male
1979,,,peace,Mother Teresa,,female
1980,,,peace,Adolfo,Pérez Esquivel,male
1982,,,peace,Alva,Myrdal,female
1982,,,peace,Alfonso,García Robles,male
1983,,,peace,Lech,Walesa,male
1984,,,peace,Desmond Mpilo,Tutu,male
1986,,,peace,Elie,Wiesel,male
1987,,,peace,Oscar,Arias Sánchez,male
1989,,,peace,The 14th Dalai Lama (Tenzin Gyatso),,male
1990,,,peace,Mikhail Sergeyevich,Gorbachev,male
1991,,,peace,Aung San Suu Kyi,,female
1992,,,peace,Rigoberta,Menchú Tum,female
1993,,,peace,Nelson,Mandela,male
1993,,,peace,Frederik Willem,de Klerk,male
1994,,,peace,Yasser,Arafat,male
1994,,,peace,Shimon,Peres,male
1994,,,peace,Yitzhak,Rabin,male
1995,,,peace,Joseph,Rotblat,male
1996,,,peace,Carlos Filipe Ximenes,Belo,male
1996,,,peace,José,Ramos-Horta,male
1997,,,peace,Jody,Williams,female
1998,,,peace,John,Hume,male
1998,,,peace,David,Trimble,male
1901,,,literature,Sully,Prudhomme,male
1902,,,literature,Christian Matthias Theodor,Mommsen,male
1903,,,literature,Bjørnstjerne Martinus,Bjørnson,male
1904,,,literature,Frédéric,Mistral,male
1904,,,literature,José,Echegaray y Eizaguirre,male
1905,,,literature,Henryk,Sienkiewicz,male
1906,,,literature,Giosuè,Carducci,male
1907,,,literature,Rudyard,Kipling,male
1908,,,literature,Rudolf Christoph,Eucken,male
1909,,,literature,Selma Ottilia Lovisa,Lagerlöf,female
1910,,,literature,Paul Johann Ludwig,Heyse,male
1911,,,literature,Count Maurice (Mooris) Polidore Marie Bernhard,Maeterlinck,male
1912,,,literature,Gerhart Johann Robert,Hauptmann,male
1913,,,literature,Rabindranath,Tagore,male
1915,,,literature,Romain,Rolland,male
1916,,,literature,Carl Gustaf Verner,von Heidenstam,male
1917,,,literature,Karl Adolph,Gjellerup,male
1917,,,literature,Henrik,Pontoppidan,male
1919,,,literature,Carl Friedrich Georg,Spitteler,male
1920,,,literature,Knut Pedersen,Hamsun,male
1921,,,literature,Anatole,France,male
1922,,,literature,Jacinto,Benavente,male
1923,,,literature,William Butler,Yeats,male
1924,,,literature,Wladyslaw Stanislaw,Reymont,male
1925,,,literature,George Bernard,Shaw,male
1926,,,literature,Grazia,Deledda,female
1927,,,literature,Henri,Bergson,male
1928,,,literature,Sigrid,Undset,female
1929,,,literature,Thomas,Mann,male
1930,,,literature,Sinclair,Lewis,male
1931,,,literature,Erik Axel,Karlfeldt,male
1932,,,literature,John,Galsworthy,male
1933,,,literature,Ivan Alekseyevich,Bunin,male
1934,,,literature,Luigi,Pirandello,male
1936,,,literature,Eugene Gladstone,O'Neill,male
1937,,,literature,Roger,Martin du Gard,male
1938,,,literature,Pearl,Buck,female
1939,,,literature,Frans Eemil,Sillanpää,male
1944,,,literature,Johannes Vilhelm,Jensen,male
1945,,,literature,Gabriela,Mistral,female
1946,,,literature,Hermann,Hesse,male
1947,,,literature,André Paul Guillaume,Gide,male
1948,,,literature,Thomas Stearns,Eliot,male
1949,,,literature,William,Faulkner,male
1950,,,literature,Earl (Bertrand Arthur William),Russell,male
1951,,,literature,Pär Fabian,Lagerkvist,male
1952,,,literature,François,Mauriac,male
1953,,,literature,Sir Winston Leonard Spencer,Churchill,male
1954,,,literature,Ernest Miller,Hemingway,male
1955,,,literature,Halldór Kiljan,Laxness,male
1956,,,literature,Juan Ramón,Jiménez,male
1957,,,literature,Albert,Camus,male
1958,,,literature,Boris Leonidovich,Pasternak,male
1959,,,literature,Salvatore,Quasimodo,male
1960,,,literature,Saint-John,Perse,male
1961,,,literature,Ivo,Andric,male
1962,,,literature,John,Steinbeck,male
1963,,,literature,Giorgos,Seferis,male
1964,,,literature,Jean-Paul,Sartre,male
1965,,,literature,Mikhail Aleksandrovich,Sholokhov,male
1966,,,literature,Shmuel Yosef,Agnon,male
1966,,,literature,Nelly,Sachs,female
1967,,,literature,Miguel Angel,Asturias,male
1968,,,literature,Yasunari,Kawabata,male
1969,,,literature,Samuel,Beckett,male
1970,,,literature,Aleksandr Isayevich,Solzhenitsyn,male
1971,,,literature,Pablo,Neruda,male
1972,,,literature,Heinrich,Böll,male
1973,,,literature,Patrick,White,male
1974,,,literature,Eyvind,Johnson,male
1974,,,literature,Harry,Martinson,male
1975,,,literature,Eugenio,Montale,male
1976,,,literature,Saul,Bellow,male
1977,,,literature,Vicente,Aleixandre,male
1978,,,literature,Isaac Bashevis,Singer,male
1979,,,literature,Odysseus,Elytis,male
1980,,,literature,Czeslaw,Milosz,male
1981,,,literature,Elias,Canetti,male
1982,,,literature,Gabriel,García Márquez,male
1983,,,literature,William,Golding,male
1984,,,literature,Jaroslav,Seifert,male
1985,,,literature,Claude,Simon,male
1986,,,literature,Wole,Soyinka,male
1987,,,literature,Joseph,Brodsky,male
1988,,,literature,Naguib,Mahfouz,male
1989,,,literature,Camilo José,Cela,male
1990,,,literature,Octavio,Paz,male
1991,,,literature,Nadine,Gordimer,female
1992,,,literature,Derek,Walcott,male
1993,,,literature,Toni,Morrison,female
1994,,,literature,Kenzaburo,Oe,male
1995,,,literature,Seamus,Heaney,male
1996,,,literature,Wislawa,Szymborska,female
1997,,,literature,Dario,Fo,male
1998,,,literature,José,Saramago,male
1999,,,literature,Günter,Grass,male
1969,NOR,Oslo,economics,Ragnar,Frisch,male
1969,,Rotterdam,economics,Jan,Tinbergen,male
1970,USA,"Cambridge, MA",economics,Paul A.,Samuelson,male
1971,USA,"Cambridge, MA",economics,Simon,Kuznets,male
1972,GBR,Oxford,economics,John R.,Hicks,male
1972,USA,"Cambridge, MA",economics,Kenneth J.,Arrow,male
1973,USA,"Cambridge, MA",economics,Wassily,Leontief,male
1974,,,economics,Gunnar,Myrdal,male
1974,,,economics,Friedrich August,von Hayek,male
1975,,Moscow,economics,Leonid Vitaliyevich,Kantorovich,male
1975,USA,"New Haven, CT",economics,Tjalling C.,Koopmans,male
1976,USA,"Chicago, IL",economics,Milton,Friedman,male
1977,SWE,Stockholm,economics,Bertil,Ohlin,male
1977,GBR,Cambridge,economics,James E.,Meade,male
1978,USA,"Pittsburgh, PA",economics,Herbert A.,Simon,male
1979,USA,"Chicago, IL",economics,Theodore W.,Schultz,male
1979,USA,"Princeton, NJ",economics,Sir Arthur,Lewis,male
1980,USA,"Philadelphia, PA",economics,Lawrence R.,Klein,male
1981,USA,"New Haven, CT",economics,James,Tobin,male
1982,USA,"Chicago, IL",economics,George J.,Stigler,male
1983,USA,"Berkeley, CA",economics,Gerard,Debreu,male
1984,GBR,Cambridge,economics,Richard,Stone,male
1985,USA,"Cambridge, MA",economics,Franco,Modigliani,male
1986,USA,"Fairfax, VA",economics,James M.,Buchanan Jr.,male
1987,USA,"Cambridge, MA",economics,Robert M.,Solow,male
1988,FRA,Paris,economics,Maurice,Allais,male
1989,NOR,Oslo,economics,Trygve,Haavelmo,male
1990,USA,"New York, NY",economics,Harry M.,Markowitz,male
1990,USA,"Chicago, IL",economics,Merton H.,Miller,male
1990,USA,"Stanford, CA",economics,William F.,Sharpe,male
1991,USA,"Chicago, IL",economics,Ronald H.,Coase,male
1992,USA,"Chicago, IL",economics,Gary S.,Becker,male
1993,USA,"Chicago, IL",economics,Robert W.,Fogel,male
1993,USA,"St. Louis, MO",economics,Douglass C.,North,male
1994,USA,"Berkeley, CA",economics,John C.,Harsanyi,male
1994,USA,"Princeton, NJ",economics,John F.,Nash Jr.,male
1994,,Bonn,economics,Reinhard,Selten,male
1995,USA,"Chicago, IL",economics,Robert E.,Lucas Jr.,male
1996,GBR,Cambridge,economics,James A.,Mirrlees,male
1996,USA,"New York, NY",economics,William,Vickrey,male
1997,USA,"Cambridge, MA",economics,Robert C.,Merton,male
1997,USA,"Greenwich, CT",economics,Myron S.,Scholes,male
1998,GBR,Cambridge,economics,Amartya,Sen,male
1999,USA,"New York, NY",economics,Robert A.,Mundell,male
1958,,Moscow,physics,Il´ja Mikhailovich,Frank,male
2000,SWE,Gothenburg,medicine,Arvid,Carlsson,male
2000,USA,"New York, NY",medicine,Paul,Greengard,male
2000,USA,"New York, NY",medicine,Eric R.,Kandel,male
2000,,,peace,Kim,Dae-jung,male
2000,,St. Petersburg,physics,Zhores I.,Alferov,male
2000,USA,"Santa Barbara, CA",physics,Herbert,Kroemer,male
2000,USA,"Dallas, TX",physics,Jack S.,Kilby,male
2000,USA,"Santa Barbara, CA",chemistry,Alan J.,Heeger,male
2000,USA,"Philadelphia, PA",chemistry,Alan G.,MacDiarmid,male
2000,JPN,Tokyo,chemistry,Hideki,Shirakawa,male
2000,USA,"Chicago, IL",economics,James J.,Heckman,male
2000,USA,"Berkeley, CA",economics,Daniel L.,McFadden,male
2000,,,literature,Gao,Xingjian,male
2001,USA,"Seattle, WA",medicine,Leland H.,Hartwell,male
2001,GBR,London,medicine,Tim,Hunt,male
2001,GBR,London,medicine,Sir Paul M.,Nurse,male
2001,USA,"Boulder, CO",physics,Eric A.,Cornell,male
2001,USA,"Cambridge, MA",physics,Wolfgang,Ketterle,male
2001,USA,"Boulder, CO",physics,Carl E.,Wieman,male
2001,USA,"St. Louis, MO",chemistry,William S.,Knowles,male
2001,JPN,Nagoya,chemistry,Ryoji,Noyori,male
2001,USA,"La Jolla, CA",chemistry,K. Barry,Sharpless,male
2001,USA,"Berkeley, CA",economics,George A.,Akerlof,male
2001,USA,"Stanford, CA",economics,A. Michael,Spence,male
2001,USA,"New York, NY",economics,Joseph E.,Stiglitz,male
2001,,,literature,Sir Vidiadhar Surajprasad,Naipaul,male
2001,,,peace,Kofi,Annan,male
2002,USA,"Berkeley, CA",medicine,Sydney,Brenner,male
2002,USA,"Cambridge, MA",medicine,H. Robert,Horvitz,male
2002,GBR,Cambridge,medicine,John E.,Sulston,male
2002,USA,"Philadelphia, PA",physics,Raymond,Davis Jr.,male
2002,JPN,Tokyo,physics,Masatoshi,Koshiba,male
2002,USA,"Washington, DC",physics,Riccardo,Giacconi,male
2002,USA,"Richmond, VA",chemistry,John B.,Fenn,male
2002,JPN,Kyoto,chemistry,Koichi,Tanaka,male
2002,CHE,Zurich,chemistry,Kurt,Wüthrich,male
2002,USA,"Princeton, NJ",economics,Daniel,Kahneman,male
2002,USA,"Fairfax, VA",economics,Vernon L.,Smith,male
2002,,,literature,Imre,Kertész,male
2002,,,peace,Jimmy,Carter,male
2003,,,literature,John M.,Coetzee,male
2003,USA,"Urbana, IL",medicine,Paul C.,Lauterbur,male
2003,GBR,Nottingham,medicine,Sir Peter,Mansfield,male
2003,USA,"Argonne, IL",physics,Alexei A.,Abrikosov,male
2003,,Moscow,physics,Vitaly L.,Ginzburg,male
2003,USA,"Urbana, IL",physics,Anthony J.,Leggett,male
2003,USA,"Baltimore, MD",chemistry,Peter,Agre,male
2003,USA,"New York, NY",chemistry,Roderick,MacKinnon,male
2003,USA,"New York, NY",economics,Robert F.,Engle III,male
2003,USA,"San Diego, CA",economics,Clive W.J.,Granger,male
2003,,,peace,Shirin,Ebadi,female
2004,USA,"New York, NY",medicine,Richard,Axel,male
2004,USA,"Seattle, WA",medicine,Linda B.,Buck,female
2004,USA,"Santa Barbara, CA",physics,David J.,Gross,male
2004,USA,"Pasadena, CA",physics,H. David,Politzer,male
2004,USA,"Cambridge, MA",physics,Frank,Wilczek,male
2004,ISR,Haifa,chemistry,Aaron,Ciechanover,male
2004,ISR,Haifa,chemistry,Avram,Hershko,male
2004,USA,"Irvine, CA",chemistry,Irwin,Rose,male
2004,,,literature,Elfriede,Jelinek,female
2004,,,peace,Wangari Muta,Maathai,female
2004,USA,"Pittsburgh, PA",economics,Finn E.,Kydland,male
2004,USA,"Tempe, AZ",economics,Edward C.,Prescott,male
2005,AUS,Nedlands,medicine,Barry J.,Marshall,male
2005,AUS,Perth,medicine,J. Robin,Warren,male
2005,USA,"Cambridge, MA",physics,Roy J.,Glauber,male
2005,USA,"Boulder, CO",physics,John L.,Hall,male
2005,DEU,Garching,physics,Theodor W.,Hänsch,male
2005,FRA,Rueil-Malmaison,chemistry,Yves,Chauvin,male
2005,USA,"Pasadena, CA",chemistry,Robert H.,Grubbs,male
2005,USA,"Cambridge, MA",chemistry,Richard R.,Schrock,male
2005,,,peace,Mohamed,ElBaradei,male
2005,ISR,Jerusalem,economics,Robert J.,Aumann,male
2005,USA,"College Park, MD",economics,Thomas C.,Schelling,male
2005,,,literature,Harold,Pinter,male
2006,USA,"Stanford, CA",medicine,Andrew Z.,Fire,male
2006,USA,"Worcester, MA",medicine,Craig C.,Mello,male
2006,USA,"Greenbelt, MD",physics,John C.,Mather,male
2006,USA,"Berkeley, CA",physics,George F.,Smoot,male
2006,USA,"Stanford, CA",chemistry,Roger D.,Kornberg,male
2006,USA,"New York, NY",economics,Edmund S.,Phelps,male
2006,,,literature,Orhan,Pamuk,male
2006,,,peace,Muhammad,Yunus,male
2007,USA,"Salt Lake City, UT",medicine,Mario R.,Capecchi,male
2007,GBR,Cardiff,medicine,Sir Martin J.,Evans,male
2007,USA,"Chapel Hill, NC",medicine,Oliver,Smithies,male
2007,FRA,Orsay,physics,Albert,Fert,male
2007,DEU,J&uuml;lich,physics,Peter,Grünberg,male
2007,DEU,Berlin,chemistry,Gerhard,Ertl,male
2007,,,literature,Doris,Lessing,female
2007,,,peace,Albert Arnold (Al),Gore Jr.,male
2007,USA,"Minneapolis, MN",economics,Leonid,Hurwicz,male
2007,USA,"Princeton, NJ",economics,Eric S.,Maskin,male
2007,USA,"Chicago, IL",economics,Roger B.,Myerson,male
2008,DEU,Heidelberg,medicine,Harald,zur Hausen,male
2008,FRA,Paris,medicine,Françoise,Barré-Sinoussi,female
2008,FRA,Paris,medicine,Luc,Montagnier,male
2008,USA,"Chicago, IL",physics,Yoichiro,Nambu,male
2008,JPN,Tsukuba,physics,Makoto,Kobayashi,male
2008,JPN,Kyoto,physics,Toshihide,Maskawa,male
2008,USA,"Woods Hole, MA",chemistry,Osamu,Shimomura,male
2008,USA,"New York, NY",chemistry,Martin,Chalfie,male
2008,USA,"San Diego, CA",chemistry,Roger Y.,Tsien,male
2008,,,literature,Jean-Marie Gustave,Le Clézio,male
2008,,,peace,Martti,Ahtisaari,male
2008,USA,"Princeton, NJ",economics,Paul,Krugman,male
2009,USA,"San Francisco, CA",medicine,Elizabeth H.,Blackburn,female
2009,USA,"Baltimore, MD",medicine,Carol W.,Greider,female
2009,USA,"Boston, MA",medicine,Jack W.,Szostak,male
2009,GBR,Harlow,physics,Charles Kuen,Kao,male
2009,USA,"Murray Hill, NJ",physics,Willard S.,Boyle,male
2009,USA,"Murray Hill, NJ",physics,George E.,Smith,male
2009,USA,"New Haven, CT",chemistry,Thomas A.,Steitz,male
2009,ISR,Rehovot,chemistry,Ada E.,Yonath,female
2009,,,literature,Herta,Müller,female
2009,,,peace,Barack H.,Obama,male
2009,USA,"Bloomington, IN",economics,Elinor,Ostrom,female
2009,USA,"Berkeley, CA",economics,Oliver E.,Williamson,male
2010,GBR,Cambridge,medicine,Robert G.,Edwards,male
2010,GBR,Manchester,physics,Andre,Geim,male
2010,GBR,Manchester,physics,Konstantin,Novoselov,male
2010,USA,,chemistry,Richard F.,Heck,male
2010,USA,"West Lafayette, IN",chemistry,Ei-ichi,Negishi,male
2010,JPN,Sapporo,chemistry,Akira,Suzuki,male
2010,,,literature,Mario,Vargas Llosa,male
2010,,,peace,Liu,Xiaobo,male
2010,USA,"Cambridge, MA",economics,Peter A.,Diamond,male
2010,USA,"Evanston, IL",economics,Dale T.,Mortensen,male
2010,GBR,London,economics,Christopher A.,Pissarides,male
2011,USA,"Dallas, TX",medicine,Bruce A.,Beutler,male
2011,FRA,Strasbourg,medicine,Jules A.,Hoffmann,male
2011,USA,"New York, NY",medicine,Ralph M.,Steinman,male
2011,AUS,Weston Creek,physics,Brian P.,Schmidt,male
2011,USA,"Baltimore, MD",physics,Adam G.,Riess,male
2011,ISR,Haifa,chemistry,Dan,Shechtman,male
2011,,,literature,Tomas,Tranströmer,male
2011,,,peace,Ellen,Johnson Sirleaf,female
2011,,,peace,Leymah,Gbowee,female
2011,,,peace,Tawakkol,Karman,female
2011,USA,"New York, NY",economics,Thomas J.,Sargent,male
2011,USA,"Princeton, NJ",economics,Christopher A.,Sims,male
2012,GBR,Cambridge,medicine,Sir John B.,Gurdon,male
2012,JPN,Kyoto,medicine,Shinya,Yamanaka,male
2012,FRA,Paris,physics,Serge,Haroche,male
2012,USA,"Boulder, CO",physics,David J.,Wineland,male
2012,,,chemistry,Robert J.,Lefkowitz,male
2012,USA,"Stanford, CA",chemistry,Brian K.,Kobilka,male
2012,,,literature,Mo,Yan,male
2012,USA,"Cambridge, MA",economics,Alvin E.,Roth,male
2012,USA,"Los Angeles, CA",economics,Lloyd S.,Shapley,male
2013,USA,"New Haven, CT",medicine,James E.,Rothman,male
2013,USA,"Berkeley, CA",medicine,Randy W.,Schekman,male
2013,USA,"Stanford, CA",medicine,Thomas C.,Südhof,male
2013,BEL,Brussels,physics,François,Englert,male
2013,GBR,Edinburgh,physics,Peter W.,Higgs,male
2013,FRA,Strasbourg,chemistry,Martin,Karplus,male
2013,USA,"Stanford, CA",chemistry,Michael,Levitt,male
2013,USA,"Los Angeles, CA",chemistry,Arieh,Warshel,male
2013,,,literature,Alice,Munro,female
2013,USA,"Chicago, IL",economics,Eugene F.,Fama,male
2013,USA,"Chicago, IL",economics,Lars Peter,Hansen,male
2013,USA,"New Haven, CT",economics,Robert J.,Shiller,male
2014,GBR,London,medicine,John,O'Keefe,male
2014,NOR,Trondheim,medicine,May-Britt,Moser,female
2014,NOR,Trondheim,medicine,Edvard I.,Moser,male
2014,JPN,Nagoya,physics,Isamu,Akasaki,male
2014,JPN,Nagoya,physics,Hiroshi,Amano,male
2014,USA,"Santa Barbara, CA",physics,Shuji,Nakamura,male
2014,USA,"Ashburn, VA",chemistry,Eric,Betzig,male
2014,DEU,Göttingen,chemistry,Stefan W.,Hell,male
2014,USA,"Stanford, CA",chemistry,William E.,Moerner,male
2014,,,literature,Patrick,Modiano,male
2014,,,peace,Kailash,Satyarthi,male
2014,,,peace,Malala,Yousafzai,female
2014,FRA,Toulouse,economics,Jean,Tirole,male
2015,USA,"Madison, NJ",medicine,William C.,Campbell,male
2015,JPN,Tokyo,medicine,Satoshi,Ōmura,male
2015,CHN,Beijing,medicine,Youyou,Tu,female
2015,JPN,Kashiwa,physics,Takaaki,Kajita,male
2015,CAN,Kingston,physics,Arthur B.,McDonald,male
2015,GBR,Hertfordshire,chemistry,Tomas,Lindahl,male
2015,USA,"Durham, NC",chemistry,Paul,Modrich,male
2015,USA,"Chapel Hill, NC",chemistry,Aziz,Sancar,male
2015,,,literature,Svetlana,Alexievich,female
2015,USA,"Princeton, NJ",economics,Angus,Deaton,male
2016,JPN,Tokyo,medicine,Yoshinori,Ohsumi,male
2016,USA,"Seattle, WA",physics,David J.,Thouless,male
2016,USA,"Princeton, NJ",physics,F. Duncan M.,Haldane,male
2016,USA,"Providence, RI",physics,J. Michael,Kosterlitz,male
2016,FRA,Strasbourg,chemistry,Jean-Pierre,Sauvage,male
2016,USA,"Evanston, IL",chemistry,Sir J. Fraser,Stoddart,male
2016,,Groningen,chemistry,Bernard L.,Feringa,male
2016,,,peace,Juan Manuel,Santos,male
2016,USA,"Cambridge, MA",economics,Oliver,Hart,male
2016,USA,"Cambridge, MA",economics,Bengt,Holmström,male
2016,,,literature,Bob,Dylan,male
2017,,,physics,Rainer,Weiss,male
2017,,,physics,Barry C.,Barish,male
2017,,,physics,Kip S.,Thorne,male
2017,CHE,Lausanne,chemistry,Jacques,Dubochet,male
2017,USA,"New York, NY",chemistry,Joachim,Frank,male
2017,GBR,Cambridge,chemistry,Richard,Henderson,male
2017,,,literature,Kazuo,Ishiguro,male
2017,USA,"Chicago, IL",economics,Richard H.,Thaler,male
